model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,speed_version
Rijgersberg/GEITje-7B-chat-v2 (few-shot),3.05,3.25,7242.0,32.0,32768,5907.62,False,False,11.06,40.32,42.12,31.12,19.71,49.65,70.06,59.19,65.55,19.18,27.71,45.01,18.03,36.82,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
meta-llama/Llama-2-13b-hf (few-shot),3.05,3.28,13016.0,32.0,4224,2898.43,True,False,4.26,28.32,52.55,43.32,24.57,54.94,72.74,60.99,64.02,16.97,28.73,45.62,19.43,38.57,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.06,3.01,3213.0,128.0,131328,10423.76,False,False,12.87,37.23,43.66,40.23,17.94,55.88,64.44,47.77,66.74,18.33,33.8,50.3,21.02,40.27,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-7b-chat-hf (few-shot),3.09,3.35,6738.0,32.0,4096,2643.05,False,False,10.07,35.66,50.23,37.12,14.73,54.59,66.24,53.42,67.59,18.45,20.19,39.24,11.42,32.5,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
Rijgersberg/GEITje-7B (few-shot),3.09,3.19,7242.0,32.0,32768,5886.57,True,False,4.36,28.11,47.53,32.42,30.67,63.78,67.56,56.55,67.58,22.14,28.12,44.5,11.7,32.05,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.10.0
EuropeanParliament/EUBERT,3.1,999.0,94.0,66.0,512,20070.41,True,False,14.86,35.33,49.54,50.44,27.9,62.47,29.4,20.65,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Twitter/twhin-bert-large,3.1,999.0,562.0,250.0,512,9706.97,True,False,6.55,28.68,77.35,82.5,18.25,54.0,36.84,28.37,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
microsoft/Phi-3-mini-128k-instruct (few-shot),3.11,3.27,3821.0,32.0,131072,7311.73,True,False,12.84,36.64,44.27,34.47,10.44,48.93,68.02,56.4,62.6,15.63,28.63,46.39,22.58,41.78,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
Twitter/twhin-bert-base,3.11,999.0,279.0,250.0,512,11513.72,True,False,9.53,32.06,74.03,80.59,39.12,68.36,12.9,7.71,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Rijgersberg/GEITje-7B-chat (few-shot),3.11,3.31,7242.0,32.0,32768,5919.97,False,False,8.16,27.37,50.69,35.96,20.45,59.0,66.71,54.48,66.92,20.19,24.89,42.34,9.84,30.9,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),3.11,3.36,7242.0,32.0,32768,633.64,False,False,7.91,27.82,52.72,33.51,18.14,55.42,67.15,52.75,64.77,16.55,26.06,44.08,14.26,35.14,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0
occiglot/occiglot-7b-eu5 (few-shot),3.12,3.34,7242.0,32.0,32768,2219.46,True,False,7.41,26.93,51.31,42.95,13.04,53.54,69.67,59.28,64.66,18.22,27.12,44.36,13.99,34.45,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0,12.2.0
BramVanroy/fietje-2b-chat (few-shot),3.13,3.38,2775.0,50.0,2048,4703.76,False,False,13.25,39.92,39.57,31.81,9.31,50.99,71.03,60.26,65.37,17.63,26.63,44.86,11.62,32.71,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
Qwen/Qwen1.5-4B-Chat (few-shot),3.14,3.46,3950.0,152.0,32768,4347.23,False,False,14.68,40.53,42.52,37.46,4.07,35.24,66.5,55.18,62.75,14.83,24.25,43.08,16.21,37.11,10.0.1,12.5.2,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,9.3.2
google/gemma-2-2b-it (few-shot),3.14,2.97,2614.0,256.0,8448,5373.87,True,False,11.17,32.96,40.58,28.95,19.63,52.65,67.27,49.3,66.83,19.21,29.3,46.88,31.43,47.87,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),3.15,3.72,7242.0,32.0,32768,5053.68,True,False,8.43,24.23,54.56,37.86,10.99,50.46,66.78,55.91,57.88,12.36,25.12,43.5,10.65,31.51,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.17,3.31,3374.0,49.0,4096,10246.27,True,False,9.45,39.66,49.25,36.48,11.87,47.32,67.04,54.2,64.77,16.74,21.52,40.76,22.32,39.89,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),3.17,4.06,7800.0,100.0,4096,6196.57,True,False,11.37,33.54,48.24,40.24,10.73,48.26,65.28,54.83,64.32,18.12,0.72,24.9,-0.47,24.28,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
BramVanroy/fietje-2b-instruct (few-shot),3.18,3.3,2775.0,50.0,2048,4710.47,False,False,13.7,40.77,36.5,28.73,4.81,43.19,71.62,60.63,66.01,17.97,26.76,44.94,12.93,34.12,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
BramVanroy/fietje-2b (few-shot),3.18,3.69,2780.0,51.0,2048,4803.72,True,False,13.39,41.03,33.92,28.63,6.75,41.28,69.39,58.57,61.49,16.13,24.66,42.68,4.78,27.19,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.21,2.92,8030.0,128.0,131072,2996.46,True,False,11.94,34.06,34.21,33.46,6.18,37.82,71.27,60.44,64.48,20.21,29.76,46.99,38.79,51.86,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,14.0.3
ibm-granite/granite-3b-code-base-2k (few-shot),3.22,4.42,3483.0,49.0,2048,2731.51,True,False,12.39,30.05,50.88,39.51,3.31,37.97,58.85,48.44,52.5,10.11,9.22,31.06,4.45,28.26,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-7b-hf (few-shot),3.24,3.71,6738.0,32.0,4096,930.05,True,False,7.1,27.42,40.49,30.86,18.66,55.25,70.24,59.92,62.58,16.33,17.36,37.44,6.68,29.3,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,12.9.0
AI-Sweden-Models/gpt-sw3-20b (few-shot),3.27,4.12,20918.0,64.0,2048,1875.24,True,False,15.67,31.3,35.3,33.68,1.76,47.6,55.38,45.05,59.15,14.6,6.24,29.02,0.47,24.89,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
01-ai/Yi-1.5-6B (few-shot),3.28,3.36,6061.0,64.0,4352,2867.41,True,False,9.23,19.38,51.18,35.45,1.99,34.69,65.31,54.66,60.81,15.41,28.03,45.9,23.64,42.59,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
BramVanroy/GEITje-7B-ultra-sft (few-shot),3.29,3.23,7242.0,32.0,8192,5979.18,False,False,7.0,35.01,39.41,30.59,16.1,52.05,65.63,53.02,67.74,20.32,25.8,42.85,12.49,33.04,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
sentence-transformers/distiluse-base-multilingual-cased-v1,3.3,999.0,135.0,120.0,512,34041.87,True,False,17.82,37.11,58.67,68.27,9.27,52.04,8.02,2.17,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.3,4.1,3483.0,49.0,2048,9058.91,True,False,10.15,22.01,48.53,38.2,4.88,38.78,56.09,45.38,59.56,15.2,7.38,29.6,2.69,25.85,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.32,4.32,20918.0,64.0,2048,1830.86,True,False,18.4,40.21,24.44,25.02,4.85,49.1,52.69,39.83,54.89,13.01,4.38,27.07,1.95,24.88,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.7.0
meta-llama/Llama-3.2-3B (few-shot),3.33,3.44,3213.0,128.0,131328,3713.14,True,False,7.9,30.71,47.4,33.11,3.1,34.24,68.47,56.53,62.27,16.54,29.18,46.04,10.34,32.08,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/roberta-large-1350k,3.34,999.0,354.0,50.0,512,5743.56,True,False,3.65,26.89,73.03,79.97,2.0,39.53,53.68,42.85,,,,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1
Qwen/Qwen1.5-4B (few-shot),3.37,3.67,3950.0,152.0,32768,3247.86,True,False,12.55,39.8,35.74,31.74,0.23,33.35,64.17,51.3,58.9,14.17,22.2,41.49,13.11,33.86,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.37,3.35,3374.0,49.0,4096,10504.04,True,False,9.91,35.24,42.52,33.08,0.69,36.1,66.87,56.95,63.71,17.04,20.93,40.35,24.42,42.26,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/roberta-large-1160k,3.37,999.0,354.0,50.0,512,14014.08,True,False,3.5,27.25,70.92,78.52,2.06,41.06,51.93,41.4,,,,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.38,4.08,6738.0,32.0,4096,6275.17,True,False,8.77,25.31,36.61,31.91,3.52,35.34,70.33,59.51,54.5,15.01,14.9,35.2,7.26,29.91,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
allenai/OLMo-1.7-7B-hf (few-shot),3.43,3.74,6888.0,50.0,4096,3371.43,True,False,4.34,19.37,46.95,36.13,3.46,41.32,68.14,57.07,61.31,17.24,18.21,37.51,9.03,29.35,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.46,999.0,135.0,120.0,512,33753.4,True,False,17.4,39.25,65.04,70.94,-0.95,49.0,9.5,3.94,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
ibm-granite/granite-7b-base (few-shot),3.51,3.98,6738.0,32.0,2048,4405.37,True,False,7.51,19.22,37.39,32.77,3.11,50.54,61.06,49.6,57.63,12.27,14.52,35.34,6.6,29.3,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.8,12.10.8
meta-llama/Llama-3.2-1B-Instruct (few-shot),3.52,3.92,1236.0,128.0,131328,7435.78,False,False,9.15,32.55,42.01,37.16,1.11,36.71,53.75,40.04,58.72,12.47,17.71,38.01,6.98,28.05,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2b-it (few-shot),3.52,4.43,2506.0,256.0,8192,6470.59,False,False,11.25,28.36,38.85,32.18,-2.27,37.91,56.54,45.95,51.99,12.75,10.97,32.28,1.45,24.79,12.1.0,12.5.2,12.1.0,12.4.0,12.4.0,12.1.0,12.1.0,12.1.0
dbmdz/bert-base-historic-multilingual-cased,3.54,999.0,111.0,32.0,512,20046.97,True,False,9.29,30.73,56.69,68.42,3.02,50.08,31.59,22.14,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.57,4.13,1657.0,128.0,4096,15008.58,True,False,7.03,34.16,32.45,30.83,5.58,44.79,61.82,51.18,61.96,14.66,2.53,25.95,1.04,25.13,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
stabilityai/stablelm-2-1_6b (few-shot),3.58,4.35,1645.0,100.0,4096,7258.53,True,False,6.32,24.04,36.58,33.82,4.01,36.03,63.87,52.81,52.24,10.76,10.24,31.02,6.75,28.5,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),3.58,4.03,,32.0,4096,10889.7,False,False,11.36,30.66,35.49,29.35,2.52,42.6,47.34,37.49,62.24,15.62,5.41,27.75,0.15,25.59,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
sentence-transformers/distiluse-base-multilingual-cased,3.59,999.0,135.0,120.0,512,19205.51,True,False,9.66,31.17,56.98,66.91,19.37,56.74,7.91,3.11,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-7b-instruct (few-shot),3.59,3.66,6738.0,32.0,4096,3136.16,True,False,7.45,22.28,33.73,30.41,3.78,50.3,58.94,43.6,64.37,16.25,13.67,34.95,11.51,33.35,13.0.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.6,4.15,1335.0,49.0,4096,7964.03,True,False,13.26,37.96,30.6,26.1,1.04,45.97,50.12,39.69,61.2,13.03,2.1,26.02,-0.52,23.98,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
google/gemma-2-2b (few-shot),3.61,3.66,2614.0,256.0,8448,5235.32,True,False,8.11,28.07,22.63,22.71,8.04,48.95,65.22,52.39,61.9,17.09,22.76,41.67,8.5,30.16,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
jpostma/DagoBERT,3.68,999.0,116.0,40.0,512,11241.43,True,False,8.01,31.6,42.28,47.68,31.21,64.82,9.49,3.65,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
allenai/OLMo-7B (few-shot),3.68,4.92,6888.0,50.0,2304,5402.86,True,False,9.55,23.9,37.37,30.45,0.05,35.78,46.37,34.81,45.22,8.61,3.92,27.22,0.16,25.29,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
Tweeties/tweety-7b-dutch-v24a (few-shot),3.7,4.17,7391.0,50.0,1024,2971.19,True,False,12.47,40.41,35.83,29.15,16.81,53.38,14.18,0.0,51.61,9.48,20.21,37.93,5.94,28.98,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
LumiOpen/Viking-13B (few-shot),3.72,4.62,14030.0,131.0,4352,839.52,True,False,8.57,34.17,36.74,32.36,3.01,46.03,40.73,32.32,51.76,10.67,0.67,24.89,-0.3,23.52,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.10.5
google/gemma-2b (few-shot),3.8,4.09,2506.0,256.0,8192,6087.12,True,False,9.95,27.94,16.9,17.38,0.41,33.54,59.16,49.15,58.61,13.67,10.94,31.87,3.29,26.85,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
NorwAI/NorwAI-Mistral-7B (few-shot),3.83,4.14,7537.0,68.0,4224,3034.67,True,False,8.31,20.06,24.15,26.49,1.6,41.51,49.32,37.08,59.43,14.57,3.04,26.56,3.7,26.98,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.84,3.88,1837.0,152.0,32768,8303.55,False,False,6.82,30.97,23.44,25.0,4.11,43.7,46.66,33.16,60.91,12.65,12.11,33.62,6.41,29.73,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
meta-llama/Llama-3.2-1B (few-shot),3.88,4.55,1236.0,128.0,131328,7577.45,True,False,4.25,26.57,22.03,19.22,1.46,42.29,52.6,41.76,51.56,10.34,5.46,28.09,-0.58,23.58,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.89,3.95,1711.0,49.0,8192,15970.88,True,False,1.56,28.78,31.84,28.66,5.05,43.99,48.56,40.55,60.35,13.63,13.39,34.55,4.57,27.42,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.93,4.03,1711.0,49.0,8192,16248.88,True,False,4.6,29.94,22.84,25.11,2.55,40.88,48.35,40.33,58.31,13.08,14.32,35.65,3.87,27.14,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-3.0-1b-a400m-base (few-shot),3.98,4.45,1385.0,49.0,4096,7808.38,True,False,9.35,31.57,12.76,14.65,0.69,44.03,47.08,37.71,56.45,12.01,-0.05,24.48,-0.85,23.82,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.0,4.07,620.0,152.0,32768,11740.04,False,False,8.59,29.65,18.66,17.56,0.34,43.92,35.03,26.74,62.36,11.72,2.09,25.9,1.44,26.5,11.0.0,12.5.2,12.1.0,12.5.0,12.5.0,12.1.0,12.1.0,9.3.2
3ebdola/Dialectal-Arabic-XLM-R-Base,4.01,999.0,277.0,250.0,512,12782.54,True,False,8.39,30.69,44.46,60.04,2.07,48.42,9.24,4.3,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
dbmdz/bert-tiny-historic-multilingual-cased,4.04,999.0,5.0,32.0,512,78027.26,True,False,8.45,29.85,41.38,56.29,1.55,49.24,6.62,4.4,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Qwen/Qwen1.5-1.8B (few-shot),4.07,4.1,1837.0,152.0,32768,5665.51,True,False,5.2,35.43,11.66,15.15,2.89,41.36,48.83,34.6,55.0,11.21,13.56,34.17,5.89,29.17,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
allenai/OLMo-7B-Twin-2T (few-shot),4.07,4.97,6888.0,50.0,2304,5484.4,True,False,3.7,17.91,18.7,19.58,2.19,45.43,48.44,38.08,43.79,7.59,0.65,25.05,-0.02,24.75,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
sentence-transformers/distiluse-base-multilingual-cased-v2,4.09,999.0,135.0,120.0,512,33246.61,True,False,2.7,26.12,49.82,62.06,6.6,50.71,6.8,2.13,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
Qwen/Qwen1.5-0.5B (few-shot),4.1,4.18,620.0,152.0,32768,11371.34,True,False,4.54,26.53,28.3,28.67,-0.42,37.6,29.05,20.81,58.4,10.34,7.44,29.86,1.7,26.04,10.0.1,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,9.3.2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4.1,999.0,118.0,250.0,512,29200.68,True,False,0.0,24.33,59.61,67.02,-0.04,48.65,9.04,3.28,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
NorwAI/NorwAI-Llama2-7B (few-shot),4.11,4.33,7033.0,68.0,4224,4437.75,True,False,6.04,18.08,22.5,24.09,-0.61,46.51,35.73,26.96,56.55,13.22,0.27,24.94,1.47,25.75,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
HuggingFaceTB/SmolLM2-360M (few-shot),4.11,4.45,362.0,49.0,8192,22023.39,True,False,6.84,27.74,20.95,25.63,-1.5,34.07,30.14,22.67,53.89,10.53,-0.45,24.24,-0.31,23.58,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.19,4.62,362.0,49.0,8192,21776.98,True,False,6.73,27.67,15.68,22.21,0.63,43.48,27.47,19.73,50.53,9.14,1.3,24.43,-0.36,24.09,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
state-spaces/mamba-2.8b-hf (few-shot),4.2,4.62,2768.0,50.0,33024,2721.51,True,False,2.4,22.89,22.95,23.05,3.12,45.58,32.09,22.4,50.36,9.96,-0.48,24.57,1.28,26.62,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
allenai/OLMo-1B (few-shot),4.36,4.98,1177.0,50.0,2304,8536.09,True,False,4.92,19.51,22.58,26.82,-1.27,41.38,11.74,6.64,43.43,7.83,-0.56,24.38,0.29,25.1,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
HuggingFaceTB/SmolLM2-135M (few-shot),4.63,4.64,135.0,49.0,8192,26346.08,True,False,2.01,15.88,17.49,18.59,-0.02,34.86,3.23,0.53,52.46,9.47,0.33,25.12,-0.1,24.87,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.69,4.39,135.0,49.0,8192,25602.11,True,False,-0.62,16.18,15.82,16.46,1.16,34.3,5.89,3.25,54.82,9.74,1.36,25.96,0.34,25.4,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
fresh-xlm-roberta-base,4.76,999.0,277.0,250.0,512,2214.08,True,False,0.92,25.39,13.09,16.25,1.93,40.76,2.7,0.26,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1
fresh-electra-small,4.8,999.0,13.0,31.0,512,7840.02,True,False,0.0,24.33,11.66,13.45,-0.21,35.79,0.17,0.17,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
RJuro/kanelsnegl-v0.1 (few-shot),4.92,4.26,7242.0,32.0,512,5847.39,True,False,0.95,9.87,0.0,0.0,0.0,33.34,5.43,0.0,60.14,10.07,0.11,24.32,-0.13,23.6,9.3.1,9.3.1,9.3.1,12.5.1,9.3.1,9.3.1,9.3.1,12.10.0
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.92,5.01,7537.0,68.0,4224,3023.95,True,False,0.97,13.0,3.8,4.24,-0.37,33.4,2.98,0.4,45.25,6.15,-0.98,24.82,-0.05,24.51,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
ssmits/Falcon2-5.5B-multilingual (few-shot),4.96,4.95,5465.0,65.0,8192,7691.9,True,False,0.0,8.62,0.0,0.0,0.0,33.34,0.01,0.0,43.74,0.22,0.32,24.79,1.73,26.61,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ai-forever/mGPT (few-shot),4.98,5.66,,100.0,1024,11734.33,True,False,-0.67,8.96,0.11,0.27,-0.97,34.83,1.56,0.29,30.2,2.14,1.45,24.91,-0.56,23.53,10.0.1,9.3.1,11.0.0,12.5.1,12.0.0,11.0.0,11.0.0,12.10.0
01-ai/Yi-6B-Chat (few-shot),999.0,3.28,6061.0,64.0,4096,2278.2,False,False,11.56,34.44,,,4.85,35.29,66.88,53.7,64.15,16.18,28.74,46.49,19.0,38.23,11.0.0,0.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
01-ai/Yi-6B (few-shot),999.0,3.52,6061.0,64.0,4096,6435.34,True,False,,,46.34,33.3,,,66.5,55.33,58.35,14.29,29.33,46.94,20.27,39.32,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0
