model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
skole-gpt-mixtral (few-shot),2.36,2.58,,32.0,32768,3582.66,False,False,52.09,65.72,62.52,49.42,61.55,47.53,21.99,58.21,16.84,51.76,72.6,47.3,64.7,17.1,39.99,54.9,32.16,48.12,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
bineric/NorskGPT-Mistral-7b (few-shot),2.36,2.41,7242.0,32.0,32768,2442.87,False,False,56.9,70.81,63.28,47.72,61.25,45.04,13.86,44.84,10.17,46.48,74.38,49.03,65.72,19.24,32.37,49.0,47.62,60.59,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.1,11.0.0,9.3.1,9.3.1,9.3.1
Geotrend/bert-base-en-fr-de-no-da-cased,2.36,999.0,118.0,42.0,512,13972.84,True,False,35.34,48.31,88.05,84.88,83.08,79.06,31.45,63.68,36.12,66.98,54.67,41.59,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Meta-Llama-3-8B (few-shot),2.37,2.85,8030.0,128.0,8192,1046.19,True,False,49.87,66.15,61.48,47.65,61.58,50.1,21.2,52.29,19.65,56.66,74.98,53.35,63.38,15.74,33.02,49.25,24.93,42.47,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
"RJuro/munin-neuralbeagle-7b (few-shot, val)",2.37,2.59,7242.0,32.0,32768,2492.75,False,True,55.61,68.27,61.18,56.36,65.16,55.74,20.84,49.36,9.12,43.06,69.13,42.92,65.99,19.46,27.77,45.43,39.67,54.26,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.38,1.8,,200.0,8191,908.12,True,False,39.82,37.7,60.43,37.82,55.59,32.2,54.84,74.79,33.8,62.11,70.12,36.55,62.77,10.94,56.96,67.11,68.7,75.86,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.39,2.66,68977.0,32.0,3841,1979.03,True,False,55.12,66.55,60.21,47.06,62.99,48.82,27.12,54.26,6.82,46.18,69.99,38.5,65.11,17.82,32.3,48.32,34.43,49.65,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"timpal0l/BeagleCatMunin2 (few-shot, val)",2.39,2.59,7242.0,32.0,32768,2477.24,False,True,58.69,70.83,61.17,54.24,65.44,54.34,15.03,40.22,5.95,39.18,69.53,42.42,66.08,20.15,27.31,45.04,41.63,56.02,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
Geotrend/bert-base-en-da-cased,2.42,999.0,111.0,33.0,512,14061.58,True,False,35.16,48.41,88.55,85.29,83.09,79.27,31.82,62.98,32.94,64.36,52.33,39.46,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"mlabonne/NeuralBeagle14-7B (few-shot, val)",2.42,2.71,7242.0,32.0,8192,2549.38,False,True,54.04,66.46,62.47,57.71,66.69,58.83,16.75,49.11,13.0,49.33,65.43,34.48,65.74,19.13,28.39,45.59,35.19,50.12,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
microsoft/infoxlm-base,2.46,999.0,278.0,250.0,512,34735.22,True,False,44.42,57.73,90.14,87.71,84.12,80.21,11.2,48.77,7.12,49.23,62.39,47.69,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
senseable/WestLake-7B-v2 (few-shot),2.47,2.66,7242.0,32.0,32768,5992.97,False,False,50.6,66.76,64.37,52.81,62.77,51.8,18.09,52.56,12.25,50.79,69.54,38.34,65.09,17.27,27.33,45.16,41.59,56.02,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
KBLab/megatron-bert-large-swedish-cased-165k,2.47,999.0,370.0,64.0,512,7137.91,True,False,39.53,50.9,85.99,83.09,79.47,75.61,27.39,61.03,23.56,60.05,51.83,39.01,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Nordics/bert-large-swedish-cased,2.48,999.0,335.0,31.0,512,7199.47,True,False,38.44,52.6,83.32,80.48,77.97,74.84,37.54,64.46,23.1,58.14,51.67,39.97,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-da-cased,2.48,999.0,104.0,23.0,512,15432.35,True,False,32.73,46.52,87.52,83.86,82.66,78.65,36.41,65.2,30.37,62.12,49.9,37.71,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"timpal0l/BeagleCatMunin (few-shot, val)",2.5,2.81,7242.0,32.0,32768,2495.0,False,True,54.74,67.81,54.04,48.5,62.21,50.38,14.51,40.94,5.38,37.62,69.15,42.83,65.6,19.07,25.82,43.75,32.01,48.4,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
Mabeck/Heidrun-Mistral-7B-chat (few-shot),2.5,2.92,7242.0,32.0,32768,5821.93,False,False,49.19,63.36,61.41,52.32,59.49,49.45,15.17,50.25,10.78,50.08,73.08,48.99,64.22,16.72,27.64,45.78,25.74,43.95,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,12.5.0,12.5.0,10.0.1,10.0.1,10.0.1
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",2.5,3.07,7242.0,32.0,32768,2442.55,True,True,49.4,60.71,48.24,42.53,61.5,50.9,24.12,59.38,13.2,54.42,69.52,47.93,64.56,17.62,26.21,42.54,17.0,33.52,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
microsoft/infoxlm-large,2.52,999.0,560.0,250.0,512,6696.2,True,False,30.56,45.96,91.9,89.48,86.59,82.92,9.79,46.75,6.36,48.52,74.7,60.47,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",2.52,2.69,7242.0,32.0,8192,5340.04,False,True,48.8,63.38,61.9,57.16,66.92,57.81,19.53,51.96,9.83,47.95,62.04,30.27,64.72,17.4,28.18,45.23,36.2,50.74,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
mhenrichsen/danskgpt-chat-v2.1 (few-shot),2.55,2.53,,32.0,32768,5085.22,True,False,53.41,69.49,62.43,51.64,60.68,48.91,-1.16,33.56,0.3,34.08,76.77,49.15,63.65,13.19,38.47,53.57,40.13,54.87,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0
"KennethEnevoldsen/munin_mistral-7b (few-shot, val)",2.56,2.97,7242.0,32.0,32768,2543.28,False,True,56.37,69.55,51.82,44.64,62.55,49.66,6.04,36.34,-0.02,33.47,70.75,48.85,63.74,16.64,28.43,45.94,20.49,40.0,12.3.1,12.5.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2
ibm-granite/granite-3.0-8b-base (few-shot),2.56,2.96,8171.0,49.0,4096,5116.13,True,False,53.27,66.73,49.94,46.49,52.17,46.44,17.22,50.42,12.01,47.98,69.52,45.04,63.01,15.82,24.31,42.68,30.34,47.38,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),2.57,3.04,8171.0,49.0,4096,5090.05,True,False,51.36,66.19,53.79,46.58,56.13,47.13,6.83,38.36,8.09,41.05,73.03,48.01,62.4,13.68,24.55,42.12,26.71,44.15,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/njord-alpha (few-shot),2.57,2.96,7242.0,32.0,32768,5431.36,True,False,48.03,65.89,50.47,43.31,51.97,42.66,22.65,51.83,17.1,49.03,68.08,44.72,65.48,19.57,25.82,42.08,21.35,37.35,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",2.57,2.68,7242.0,32.0,32768,2890.1,False,True,52.7,66.82,53.96,49.84,63.45,53.13,14.87,40.83,2.48,35.61,67.26,41.43,65.23,18.64,27.42,45.2,36.05,51.68,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
"birgermoell/Rapid-Cycling (few-shot, val)",2.59,2.77,7242.0,32.0,32768,2345.88,False,True,50.41,64.49,55.93,50.51,63.85,53.11,15.74,41.16,2.23,34.7,65.65,39.81,65.1,18.12,26.34,44.69,34.85,50.23,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"birgermoell/Flashback-Bellman (few-shot, val)",2.59,2.81,7242.0,32.0,32768,2887.36,False,True,53.24,67.94,56.44,50.1,66.56,54.48,11.96,37.26,2.5,35.26,64.09,39.21,64.96,17.92,26.64,44.88,31.14,48.01,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
CohereForAI/aya-expanse-8b (few-shot),2.59,2.62,8028.0,256.0,8192,5581.05,False,False,38.61,51.46,66.55,39.28,63.63,37.25,15.8,51.42,12.3,51.96,71.49,43.26,64.48,17.46,36.48,52.32,35.85,51.83,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
timpal0l/Llama-3-8B-flashback-v1 (few-shot),2.59,3.29,8030.0,128.0,8192,4806.85,True,False,47.58,64.35,59.09,52.82,60.02,52.04,10.52,46.13,6.67,40.61,71.9,49.89,58.88,10.65,29.17,46.02,17.46,36.36,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)",2.59,3.19,7242.0,32.0,32768,2514.54,True,True,54.93,68.45,47.26,40.22,59.35,45.26,9.0,37.53,5.26,39.01,68.0,45.95,64.25,16.92,21.89,39.61,15.32,34.57,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
bineric/NorskGPT-Llama-13B-v0.1 (few-shot),2.61,2.84,13016.0,32.0,4096,2856.44,False,False,48.86,64.32,56.72,43.75,57.62,43.81,9.87,44.29,6.9,48.96,69.36,41.27,64.86,16.84,24.51,42.96,31.41,47.68,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
KB/bert-base-swedish-cased,2.61,999.0,125.0,50.0,512,16181.26,True,False,38.7,50.88,85.91,83.05,79.67,76.0,39.13,67.97,24.13,60.76,27.73,19.04,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"merge-crew/da-sv-slerp (few-shot, val)",2.61,2.87,7242.0,32.0,32768,2467.48,True,True,56.07,68.93,49.67,43.26,61.11,50.15,3.81,34.47,-1.29,33.32,68.18,44.98,64.97,18.14,28.63,45.94,25.43,43.48,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
"merge-crew/da-sv-task-arithmetic (few-shot, val)",2.61,2.87,7242.0,32.0,32768,2500.05,True,True,55.87,68.97,49.69,43.57,61.78,49.91,2.99,34.16,-1.29,33.32,68.17,44.62,64.94,18.09,28.26,45.78,25.83,43.63,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
clips/mfaq,2.62,999.0,278.0,250.0,128,5591.18,True,False,52.91,64.64,89.46,86.62,79.71,75.64,27.55,53.28,15.2,51.91,17.38,12.36,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"merge-crew/da-sv-ties (few-shot, val)",2.62,3.09,7242.0,32.0,32768,2457.19,True,True,44.46,52.31,47.61,42.16,60.57,48.89,23.99,60.6,11.6,53.4,69.07,47.02,64.59,17.61,27.13,42.23,15.65,31.76,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
"AI-Sweden-Models/tyr (few-shot, val)",2.62,2.98,7242.0,32.0,32768,6079.2,False,True,51.85,64.28,58.6,52.72,63.15,54.03,0.66,33.42,0.53,33.42,68.55,43.22,64.57,17.58,26.09,44.41,23.43,42.3,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2
KBLab/megatron-bert-large-swedish-cased-110k,2.63,999.0,370.0,64.0,512,7074.64,True,False,39.15,53.0,84.03,80.97,77.98,74.25,21.39,58.08,17.1,57.0,47.41,35.32,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),2.63,1.91,8030.0,128.0,8192,1480.08,False,False,38.52,53.36,85.07,84.47,81.43,79.7,0.0,33.41,0.0,33.86,66.67,40.52,65.02,16.74,41.57,55.57,72.25,78.88,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,14.0.3
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.63,3.17,7242.0,32.0,32768,5053.68,True,False,49.05,63.94,48.97,39.15,51.52,40.17,14.37,47.8,9.96,48.97,68.49,44.07,63.32,16.33,25.07,43.13,15.56,35.85,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),2.63,3.02,6738.0,32.0,4096,5384.08,False,False,50.94,66.55,56.18,49.39,56.96,48.3,8.19,45.17,5.55,48.92,69.72,41.35,64.21,15.54,21.27,40.69,26.81,44.27,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2
KBLab/megatron-bert-base-swedish-cased-600k,2.64,999.0,135.0,64.0,512,15725.82,True,False,40.2,54.68,82.2,79.13,76.64,72.9,24.45,58.75,19.18,57.93,42.59,30.69,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
utter-project/EuroLLM-9B-Instruct (few-shot),2.64,2.51,9152.0,128.0,4096,5762.51,False,False,52.62,68.1,40.91,33.22,42.91,35.61,9.7,36.58,11.98,39.37,72.71,47.36,65.77,19.35,36.97,52.08,37.64,51.95,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
DDSC/roberta-base-scandinavian,2.65,999.0,125.0,50.0,512,14490.87,True,False,46.74,60.25,71.73,68.5,79.8,75.76,8.02,50.3,17.04,56.87,42.5,29.26,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mhenrichsen/hestenettetLM (few-shot),2.67,3.13,7242.0,32.0,4096,1395.65,True,False,48.23,65.51,52.52,43.46,55.6,45.25,8.53,38.61,6.65,39.32,70.96,46.89,63.53,16.54,27.67,45.77,14.2,34.89,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,12.3.2,14.0.3
mistralai/Mistral-7B-v0.1 (few-shot),2.67,3.17,7242.0,32.0,4096,1445.59,True,False,47.25,64.53,52.0,43.55,55.12,45.34,8.66,38.87,6.8,39.72,70.86,46.86,63.49,16.48,27.78,45.76,10.88,32.43,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,9.1.2,9.1.2,14.0.3
AI-Sweden-Models/Llama-3-8B (few-shot),2.67,2.92,8030.0,128.0,8192,4140.98,True,False,41.84,56.79,44.53,36.59,47.02,39.99,19.97,47.4,15.61,43.4,73.43,50.91,65.29,19.34,30.85,46.02,18.61,36.62,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
KBLab/bert-base-swedish-cased,2.68,999.0,125.0,50.0,512,16164.04,True,False,38.17,50.44,85.33,82.13,79.44,75.74,39.49,68.13,22.17,60.16,27.73,19.04,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ltg/norbert3-xs,2.68,999.0,15.0,50.0,512,14208.46,True,False,49.92,63.75,87.63,84.17,80.19,75.7,7.93,50.87,5.06,51.44,34.67,22.46,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),2.68,2.84,7242.0,32.0,8192,6112.86,True,False,39.21,56.54,50.43,42.19,54.2,43.92,20.51,52.48,11.66,48.13,73.95,51.57,65.46,19.21,28.97,45.7,25.41,42.75,12.4.0,12.5.2,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.5.0
facebook/xlm-v-base,2.71,999.0,778.0,902.0,512,25396.22,True,False,17.93,34.24,89.99,87.51,78.6,74.97,43.46,66.52,10.97,43.47,59.8,43.74,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),2.71,2.95,7242.0,32.0,32768,3005.72,False,False,50.39,66.42,51.99,37.4,52.74,36.83,0.99,33.56,1.27,34.04,72.6,47.95,64.2,16.28,25.74,43.89,26.36,44.31,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,12.4.0,12.4.0,11.0.0,11.0.0,11.0.0
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",2.71,2.66,7242.0,32.0,32768,3007.6,False,True,47.78,57.76,53.68,49.22,61.92,49.03,0.91,33.51,1.24,33.71,70.99,47.76,64.23,16.9,28.59,46.48,42.57,56.64,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
distilbert/distilbert-base-multilingual-cased,2.73,999.0,135.0,120.0,512,26354.74,True,False,33.16,46.93,83.62,80.61,80.69,76.61,36.1,66.11,30.1,64.29,30.04,19.26,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-no-cased,2.74,999.0,69.0,33.0,512,26597.05,True,False,32.32,47.12,83.93,81.01,79.39,75.07,36.15,66.57,30.17,63.98,30.26,19.71,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Twitter/twhin-bert-base,2.74,999.0,279.0,250.0,512,11513.72,True,False,37.02,47.88,84.11,81.35,77.22,73.67,35.42,66.3,6.87,50.7,36.16,25.98,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-7B-v0.3 (few-shot),2.74,3.16,7248.0,33.0,32768,1364.05,True,False,44.61,62.22,50.56,44.38,52.65,46.48,12.1,43.27,9.3,46.11,68.61,45.15,63.13,16.19,28.31,45.93,13.59,33.95,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,14.0.3
Geotrend/distilbert-base-25lang-cased,2.75,999.0,109.0,85.0,512,26098.8,True,False,33.19,46.63,83.59,80.55,80.29,76.08,32.6,65.19,24.97,61.39,30.69,19.93,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),2.75,3.0,,32.0,4094,3254.47,False,False,41.36,58.47,58.61,47.74,60.4,47.53,6.52,38.1,3.95,42.37,65.76,38.93,65.33,18.7,23.32,42.01,22.3,41.29,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
ibm-granite/granite-8b-code-base-4k (few-shot),2.75,3.63,8055.0,49.0,4096,2312.61,True,False,42.0,59.9,68.4,62.53,65.15,60.39,5.2,36.33,3.32,37.81,60.94,37.51,61.27,13.34,12.42,34.82,8.32,30.87,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
jhu-clsp/bernice,2.76,999.0,278.0,250.0,128,5566.94,True,False,39.63,49.23,84.11,81.19,77.82,73.93,45.75,71.33,33.74,63.89,7.65,5.35,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
alpindale/Mistral-7B-v0.2-hf (few-shot),2.76,3.16,7242.0,32.0,32768,1841.12,True,False,44.05,61.8,50.63,44.59,52.69,46.51,11.6,43.01,9.26,46.28,68.68,45.23,63.11,16.14,28.19,45.83,13.65,34.0,12.5.1,12.5.2,12.5.2,12.5.1,12.5.1,12.5.1,12.5.1,12.5.1,12.5.1,12.5.2
Geotrend/distilbert-base-en-fr-de-no-da-cased,2.76,999.0,76.0,42.0,512,26081.06,True,False,32.66,46.26,83.49,80.32,80.23,76.1,33.65,65.22,29.07,63.35,29.94,19.29,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Mabeck/Heidrun-Mistral-7B-base (few-shot),2.77,3.22,7242.0,32.0,32768,3822.53,True,False,48.64,66.06,50.1,41.8,54.81,45.95,10.31,43.68,1.11,36.52,65.18,42.2,62.29,14.65,27.39,45.6,11.76,32.87,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
meta-llama/Llama-2-13b-chat-hf (few-shot),2.77,3.03,13016.0,32.0,4096,2849.49,True,False,38.93,57.45,57.21,40.4,59.62,41.07,8.65,47.18,5.92,47.5,69.24,42.32,65.12,17.27,23.88,42.37,22.33,41.0,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4
google/gemma-7b (few-shot),2.79,2.65,8538.0,256.0,8190,1377.83,True,False,41.82,53.06,26.43,26.32,32.66,29.43,25.82,59.85,20.16,53.83,75.16,52.68,64.02,17.65,39.96,53.03,27.82,41.21,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.8,3.11,7242.0,32.0,32768,2370.41,False,False,38.79,53.72,53.42,42.63,54.34,41.06,17.06,56.51,11.0,53.26,64.27,35.74,64.43,16.11,20.37,39.32,21.16,39.85,9.2.0,9.2.0,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,14.0.3
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.8,999.0,278.0,250.0,512,20154.46,True,False,49.93,62.37,81.26,77.69,74.05,69.84,38.26,66.01,25.17,61.27,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
