model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.8,3.31,7242.0,32.0,32766,633.64,False,False,43.65,60.88,50.08,34.52,51.27,33.37,14.09,44.91,8.28,47.22,63.67,37.23,62.39,14.24,20.44,39.51,15.87,35.89,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,2.8,999.0,278.0,250.0,512,15099.94,True,False,55.53,68.89,81.94,78.39,75.56,71.27,36.01,64.39,14.99,54.08,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-7b-it (few-shot),2.82,3.35,8538.0,256.0,8192,1792.03,False,False,28.14,49.76,59.77,56.12,60.98,57.99,14.01,56.43,10.15,54.56,74.34,51.08,60.86,13.66,19.07,37.82,16.52,35.24,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.7.0
google/gemma-2-2b-it (few-shot),2.82,2.9,2614.0,256.0,8193,5373.87,True,False,46.84,63.22,35.56,28.84,37.7,30.22,17.15,55.59,14.38,54.95,63.79,29.75,64.58,17.0,23.02,41.85,33.13,49.47,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),2.83,3.48,7242.0,32.0,32768,2517.83,False,False,38.81,56.39,57.01,44.65,56.77,41.67,14.16,54.43,9.29,50.59,59.21,32.75,62.13,12.18,17.08,37.0,10.52,31.85,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.4.0,12.4.0,9.2.0,9.2.0,9.2.0
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.84,3.69,8055.0,49.0,4096,5616.81,True,False,40.71,59.35,66.91,54.98,62.82,53.14,9.5,46.31,6.74,42.1,55.3,32.83,60.59,12.74,11.35,32.01,6.21,29.05,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Geotrend/distilbert-base-en-da-cased,2.84,999.0,69.0,33.0,512,26196.27,True,False,29.37,44.05,83.27,80.29,79.59,75.31,31.5,64.62,24.06,61.01,29.69,18.62,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
CohereForAI/aya-23-8B (few-shot),2.84,3.14,8028.0,256.0,8192,5607.73,False,False,35.73,50.42,60.94,53.33,59.61,50.84,6.18,35.4,4.0,36.17,71.95,46.52,62.45,15.67,20.14,38.69,27.5,44.6,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Geotrend/distilbert-base-da-cased,2.85,999.0,61.0,23.0,512,28949.94,True,False,30.7,43.77,82.84,79.91,78.83,74.64,34.24,65.6,27.2,62.87,26.22,16.44,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/stsb-xlm-r-multilingual,2.87,999.0,278.0,250.0,512,15039.9,True,False,52.16,66.79,80.08,75.93,74.59,70.26,36.3,65.52,14.21,52.78,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
occiglot/occiglot-7b-eu5-instruct (few-shot),2.87,3.22,7242.0,32.0,32768,2087.8,False,False,44.46,62.0,45.5,40.02,45.96,41.28,0.0,33.41,0.0,33.86,74.97,52.19,63.95,16.91,20.61,39.79,16.18,36.19,12.2.0,12.5.2,12.5.2,12.3.1,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
jannikskytt/MeDa-Bert,2.87,999.0,111.0,32.0,512,16113.51,True,False,38.94,53.58,71.69,68.09,60.0,56.64,30.32,62.42,7.99,53.24,37.28,24.02,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B (few-shot),2.89,3.44,3213.0,128.0,131073,3713.14,True,False,39.96,58.34,49.57,37.13,52.13,38.26,3.2,37.62,3.72,38.51,68.67,45.54,58.99,11.04,21.88,40.31,14.24,33.82,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-2b-instruct (few-shot),2.9,3.49,2634.0,49.0,4097,10193.87,True,False,39.87,55.71,52.68,46.01,53.17,47.77,12.08,51.41,7.18,48.84,61.0,36.0,62.24,14.11,15.78,36.32,9.98,31.35,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
flax-community/nordic-roberta-wiki,2.91,999.0,125.0,50.0,512,16226.52,True,False,36.27,50.95,85.42,82.31,78.92,74.86,48.07,72.0,29.81,64.03,1.08,0.44,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-base-swedish-cased-125k,2.92,999.0,135.0,64.0,512,15762.86,True,False,33.88,49.21,77.98,75.03,75.0,71.0,24.23,58.89,18.18,57.28,30.08,20.56,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-2-7b-chat-hf (few-shot),2.93,3.39,6738.0,32.0,4096,2643.05,False,False,41.56,57.09,44.99,38.59,49.09,39.09,3.04,36.81,4.03,40.55,61.99,33.77,63.59,14.15,14.81,34.79,12.69,31.84,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
mideind/IceBERT-xlmr-ic3,2.95,999.0,278.0,250.0,512,11004.24,True,False,37.19,47.27,82.46,83.74,74.22,77.5,13.25,48.39,7.96,45.68,30.21,18.75,,,,,,,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
NorwAI/NorwAI-Mistral-7B (few-shot),2.95,3.67,7537.0,68.0,4065,3034.67,True,False,49.0,65.98,21.09,20.45,26.31,26.42,7.15,40.83,7.98,45.21,68.04,47.7,63.87,17.88,5.83,27.83,5.39,27.82,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
danish-foundation-models/encoder-medium-v1,2.95,999.0,111.0,32.0,512,16130.05,True,False,36.56,51.54,68.66,65.08,61.77,57.87,31.23,63.55,5.4,44.64,34.52,22.56,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
occiglot/occiglot-7b-eu5 (few-shot),2.95,3.27,7242.0,32.0,32768,2219.46,True,False,44.95,61.88,45.28,41.73,46.0,42.96,0.0,33.41,0.0,33.86,66.65,43.88,63.26,16.04,20.87,39.98,13.1,34.2,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0
KBLab/bert-base-swedish-cased-new,2.95,999.0,135.0,64.0,512,15932.9,True,False,33.94,47.96,83.23,80.34,79.16,75.55,9.56,52.24,4.16,50.07,33.72,22.84,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
emillykkejensen/Phi-3-mini-4k-instruct-dansk (few-shot),2.97,3.45,3821.0,32.0,4096,1360.1,False,False,42.27,56.76,56.41,37.55,53.95,38.44,0.0,33.41,0.21,34.08,53.48,29.35,60.58,12.77,18.57,39.13,13.36,34.7,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.97,3.13,3213.0,128.0,131073,10423.76,False,False,44.13,60.09,49.66,39.31,51.98,42.48,0.67,33.81,1.11,33.03,56.91,28.62,60.5,10.91,26.82,45.32,20.98,40.34,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-13b-hf (few-shot),2.97,3.14,13016.0,32.0,4096,2898.43,True,False,23.75,42.92,51.12,47.26,55.35,49.99,14.0,42.71,7.61,45.86,72.68,49.24,64.56,18.13,23.6,42.2,16.55,35.97,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
meta-llama/Llama-2-7b-hf (few-shot),2.98,3.55,6738.0,32.0,3841,930.05,True,False,41.74,57.91,42.13,37.17,43.8,37.48,0.0,33.41,0.02,33.88,66.18,44.19,62.3,14.85,14.48,35.35,6.49,28.64,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,12.9.0
norallm/normistral-7b-warm-instruct (few-shot),2.99,3.59,7248.0,33.0,2048,6193.5,True,False,37.98,43.91,46.49,31.87,51.46,35.87,7.86,47.2,7.23,46.62,59.27,33.31,64.52,17.03,5.22,25.35,9.32,29.64,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2.99,999.0,118.0,250.0,512,29200.68,True,False,47.53,62.73,78.31,74.65,72.13,67.28,26.92,61.93,14.63,56.24,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
sarnikowski/convbert-medium-small-da-cased,2.99,999.0,24.0,29.0,512,13820.64,True,False,32.4,44.59,79.5,76.09,73.03,68.84,41.65,70.35,25.53,62.04,8.15,5.41,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/Phi-3-mini-4k-instruct (few-shot),3.0,3.4,3821.0,32.0,4096,5224.17,True,False,37.18,55.44,56.33,36.68,54.68,37.85,6.76,41.69,6.79,45.45,52.56,30.11,61.44,13.62,15.54,36.69,17.55,37.93,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),3.0,4.03,7800.0,100.0,4096,6196.57,True,False,37.79,56.41,42.77,40.31,45.69,43.11,8.77,49.11,8.47,49.65,65.11,44.24,61.05,13.39,-1.34,22.6,-0.94,24.17,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/gpt-sw3-20b (few-shot),3.03,3.73,20918.0,64.0,2046,1875.24,True,False,34.5,42.21,30.82,25.27,39.56,32.12,15.17,49.46,12.46,48.89,66.15,42.81,63.1,16.05,4.51,27.45,5.27,28.47,12.10.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
tollefj/nordavind-7b-instruct-warm (few-shot),3.03,3.76,7248.0,33.0,2048,6450.44,False,False,38.05,47.06,38.82,30.48,43.28,33.87,8.45,46.75,7.5,48.14,64.21,40.47,64.04,17.41,2.6,25.13,3.83,26.37,12.3.2,12.5.2,12.5.2,12.3.2,12.3.2,12.4.0,12.4.0,12.3.2,12.3.2,12.3.2
LumiOpen/Viking-33B@1000B (few-shot),3.06,4.19,33119.0,131.0,4097,2079.9,True,False,40.79,57.84,40.4,30.41,44.45,34.06,5.91,47.81,2.98,45.49,59.72,37.75,56.55,9.81,1.16,23.71,-0.29,24.91,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",3.06,3.71,7242.0,32.0,32768,2460.88,True,True,38.98,58.23,35.98,27.51,47.39,36.42,11.54,49.91,5.2,46.19,56.56,37.54,61.99,14.07,10.4,29.84,2.52,24.84,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1
Twitter/twhin-bert-large,3.06,999.0,562.0,250.0,512,9706.97,True,False,34.17,43.74,86.26,83.48,80.1,76.17,12.11,50.33,4.28,45.75,16.38,11.74,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
Addedk/mbert-swedish-distilled-cased,3.07,999.0,135.0,120.0,512,26091.07,True,False,30.38,42.84,82.98,79.8,76.65,72.29,21.99,54.54,19.06,56.45,15.24,9.47,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.07,3.41,20918.0,64.0,1793,1830.86,True,False,40.89,59.86,23.95,21.43,26.55,25.06,9.45,44.62,8.32,42.3,67.93,43.19,65.9,19.68,7.24,29.4,11.76,32.09,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.7.0
microsoft/Phi-3-mini-128k-instruct (few-shot),3.08,3.41,3821.0,32.0,130817,7311.73,True,False,33.3,51.15,52.18,29.83,50.53,31.94,2.63,40.21,4.0,44.87,61.14,37.08,60.69,12.72,17.34,38.04,17.43,38.01,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
allenai/OLMo-1.7-7B-hf (few-shot),3.09,3.68,6888.0,50.0,4096,3371.43,True,False,36.68,46.78,42.78,37.34,42.85,37.34,2.39,43.99,1.91,44.2,62.28,39.16,59.58,12.71,13.41,33.01,7.83,29.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
flax-community/swe-roberta-wiki-oscar,3.1,999.0,125.0,50.0,512,15436.87,True,False,36.56,51.25,79.25,76.73,75.39,71.63,22.02,57.45,19.72,56.7,1.49,0.78,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Qwen/Qwen1.5-4B-Chat (few-shot),3.1,3.43,3950.0,152.0,32768,4347.23,False,False,32.7,45.73,44.83,40.11,46.29,41.63,3.57,37.05,1.61,37.85,67.11,42.55,60.53,12.86,17.0,37.67,16.18,36.91,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,9.3.2
DDSC/roberta-base-danish,3.11,999.0,125.0,50.0,512,15003.66,True,False,32.29,49.08,76.14,72.24,72.88,68.61,0.45,49.14,-0.08,45.89,36.47,23.91,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NorwAI/NorwAI-Llama2-7B (few-shot),3.11,3.79,7033.0,68.0,4096,4437.75,True,False,36.06,52.59,31.45,31.64,33.85,34.29,8.34,45.11,6.84,45.28,69.39,48.31,63.06,17.34,3.28,25.97,1.87,26.44,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5
AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot),3.12,3.81,7111.0,64.0,2048,2350.93,True,False,34.67,54.62,29.62,24.4,32.3,29.23,8.37,48.94,7.76,46.16,67.57,44.62,61.61,14.34,3.03,25.6,5.57,27.61,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.5.1,11.0.0,9.2.0,9.2.0,9.2.0
ibm-granite/granite-3.0-2b-base (few-shot),3.13,3.46,2534.0,49.0,4097,10186.88,True,False,35.36,54.88,43.0,35.39,45.08,38.16,2.79,41.9,1.95,38.91,59.74,37.33,62.0,14.22,15.76,36.68,12.98,34.07,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sarnikowski/convbert-small-da-cased,3.14,999.0,13.0,29.0,512,14273.42,True,False,32.49,43.12,76.07,72.78,70.94,66.73,35.43,66.84,21.11,60.09,2.78,1.84,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.15,4.18,6738.0,32.0,4096,6275.17,True,False,32.67,44.37,36.96,34.68,39.38,37.06,2.18,38.05,5.33,44.3,67.75,45.23,51.44,8.37,9.35,30.22,4.85,27.55,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sarnikowski/electra-small-discriminator-da-256-cased,3.16,999.0,13.0,29.0,512,20339.7,True,False,29.97,42.12,73.15,70.05,66.34,62.07,40.79,69.48,25.08,61.74,3.62,1.93,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
01-ai/Yi-1.5-6B (few-shot),3.16,3.2,6061.0,64.0,4097,2867.41,True,False,27.86,31.62,46.02,35.05,48.72,35.97,2.41,35.6,2.5,34.9,67.06,44.7,60.92,13.73,23.93,42.87,22.39,41.71,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"claude-3-5-haiku-20241022 (zero-shot, val)",3.17,3.56,,,200000,276.86,True,False,3.97,32.77,69.39,47.1,62.76,42.75,31.65,54.96,5.86,38.81,66.51,36.65,62.53,10.78,16.62,27.77,2.63,22.23,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.1
danish-foundation-models/munin-7b-alpha (few-shot),3.18,3.03,7242.0,32.0,32768,6116.08,True,False,20.54,36.3,48.89,35.46,51.95,36.45,4.39,35.23,1.2,34.54,70.08,47.16,63.67,15.98,29.07,46.18,19.15,38.37,12.4.0,12.5.2,12.5.2,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0,12.4.0
Qwen/Qwen1.5-4B (few-shot),3.18,3.61,3950.0,152.0,32768,3247.86,True,False,36.97,55.08,32.12,32.01,36.86,35.46,5.27,40.91,1.4,33.64,62.87,40.0,57.64,11.53,16.5,36.63,13.27,34.42,10.0.1,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0
AI-Sweden-Models/gpt-sw3-40b (few-shot),3.2,3.73,39927.0,64.0,1793,408.99,True,False,31.05,45.69,24.07,19.09,26.67,21.18,10.8,52.29,8.89,47.62,71.66,48.78,61.58,15.13,6.67,28.84,6.25,29.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.1,12.9.1,12.9.1,12.9.1
Maltehb/danish-bert-botxo,3.2,999.0,111.0,32.0,512,16091.06,True,False,40.65,55.2,72.62,69.33,58.73,55.12,29.47,62.25,12.95,55.31,2.56,0.91,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),3.2,3.53,7111.0,64.0,2048,1472.78,True,False,34.39,50.45,24.67,24.58,29.03,29.83,2.42,35.49,5.11,38.37,68.98,42.52,64.07,17.41,6.89,27.44,12.81,32.38,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.4.0,12.4.0,9.2.0,9.3.1,14.0.3
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.21,2.97,8030.0,128.0,131072,2996.46,True,False,32.18,50.19,35.54,35.62,36.61,37.38,0.0,33.25,0.0,32.79,68.45,43.47,60.89,14.01,24.47,42.42,33.51,48.18,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,14.0.3
sentence-transformers/quora-distilbert-multilingual,3.21,999.0,135.0,120.0,512,26458.45,True,False,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.21,999.0,135.0,120.0,512,33753.4,True,False,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
HPLT/gpt-33b-nordic-prerelease (few-shot),3.22,4.28,33119.0,131.0,4097,501.12,True,False,38.88,54.92,31.38,24.32,37.84,29.35,3.41,35.53,3.11,39.8,51.24,30.39,55.01,8.21,-1.56,21.86,0.51,25.31,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.23,3.78,3374.0,49.0,4096,10246.27,True,False,32.29,51.91,44.89,34.93,48.08,34.39,7.49,47.79,4.65,45.75,47.59,26.37,59.77,11.96,11.54,32.89,3.42,26.93,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
norallm/normistral-7b-warm (few-shot),3.24,3.88,7248.0,33.0,2048,3174.78,True,False,27.05,45.3,42.29,31.45,46.29,35.99,1.63,38.29,2.57,40.92,61.85,39.18,62.81,17.08,1.5,23.0,-0.05,25.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0,11.0.0
Maltehb/aelaectra-danish-electra-small-cased,3.26,999.0,14.0,32.0,128,4592.9,True,False,29.0,41.72,71.85,68.2,67.14,62.61,33.57,65.22,21.79,60.32,0.05,0.03,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.4.0
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),3.27,3.91,1445.0,64.0,2048,4544.34,True,False,35.58,44.49,33.08,34.51,38.28,40.5,0.82,34.78,1.43,34.19,58.71,36.06,63.11,15.22,-0.68,24.35,-0.32,24.5,9.3.1,12.5.2,12.5.2,12.1.0,12.1.0,12.4.0,12.4.0,12.1.0,12.1.0,12.1.0
dbmdz/bert-base-historic-multilingual-cased,3.27,999.0,111.0,32.0,512,20046.97,True,False,25.68,41.65,68.63,64.83,67.7,63.7,6.73,48.2,3.35,47.52,34.64,22.57,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
Addedk/kbbert-distilled-cased,3.28,999.0,82.0,50.0,512,29698.43,True,False,33.42,48.63,81.82,78.3,75.89,72.08,14.99,52.87,13.63,53.34,0.0,0.0,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
dbmdz/bert-medium-historic-multilingual-cased,3.3,999.0,42.0,32.0,512,24291.12,True,False,26.33,40.67,69.65,66.15,66.78,62.75,6.62,48.37,5.16,45.99,27.15,15.75,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
stabilityai/stablelm-2-1_6b (few-shot),3.3,4.33,1645.0,100.0,4096,7258.53,True,False,33.71,55.0,41.64,39.43,42.37,40.79,-0.19,33.29,-0.01,34.51,50.96,30.14,49.22,6.32,6.67,28.3,3.5,26.82,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.32,3.85,3483.0,49.0,2048,9058.91,True,False,26.21,43.33,53.78,49.41,55.14,51.07,3.9,43.86,2.42,41.58,45.77,24.86,57.11,10.81,10.36,29.64,5.85,27.84,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
